Test unit;G2;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0579995000000000;-44.1026;-4.63996
-0.0579870000000000;-44.1026;-4.63896
-0.0579745000000000;-44.1026;-4.63796
-0.0579620000000000;-44.1026;-4.63696
-0.0579495000000000;-44.1026;-4.63596
-0.0579370000000000;-44.1026;-4.63496
-0.0579245000000000;-44.1026;-4.63396
-0.0579120000000000;-44.1026;-4.63296
-0.0578995000000000;-44.1026;-4.63196
-0.0578870000000000;-44.1026;-4.63096
-0.0578745000000000;-44.1026;-4.62996
-0.0578620000000000;-44.1026;-4.62896
-0.0578495000000000;-44.1026;-4.62796
-0.0578370000000000;-44.1026;-4.62696
-0.0578245000000000;-44.1026;-4.62596
-0.0578120000000000;-44.1026;-4.62496
-0.0577995000000000;-44.1026;-4.62396
-0.0577870000000000;-44.1026;-4.62296
-0.0577745000000000;-44.1026;-4.62196
-0.0577620000000000;-44.1026;-4.62096
-0.0577495000000000;-44.1026;-4.61996
-0.0577370000000000;-44.1026;-4.61896
-0.0577245000000000;-44.1026;-4.61796
-0.0577120000000000;-44.1026;-4.61696
-0.0576995000000000;-44.1026;-4.61596
-0.0576870000000000;-44.1026;-4.61496
-0.0576745000000000;-44.1026;-4.61396
-0.0576620000000000;-44.1026;-4.61296
-0.0576495000000000;-44.1026;-4.61196
-0.0576370000000000;-44.1026;-4.61096
-0.0576245000000000;-44.1026;-4.60996
-0.0576120000000000;-44.1026;-4.60896
-0.0575995000000000;-44.1026;-4.60796
-0.0575870000000000;-44.1026;-4.60696
-0.0575745000000000;-44.0934;-4.60596
-0.0575620000000000;-44.078;-4.60496
-0.0575495000000000;-44.0626;-4.60396
-0.0575370000000000;-44.0472;-4.60296
-0.0575245000000000;-44.0318;-4.60196
-0.0575120000000000;-44.0164;-4.60096
-0.0574995000000000;-44.001;-4.59996
-0.0574870000000000;-43.9856;-4.59896
-0.0574745000000000;-43.9702;-4.59796
-0.0574620000000000;-43.9548;-4.59696
-0.0574495000000000;-43.9394;-4.59596
-0.0574370000000000;-43.924;-4.59496
-0.0574245000000000;-43.9086;-4.59396
-0.0574120000000000;-43.8932;-4.59296
-0.0573995000000000;-43.8778;-4.59196
-0.0573870000000000;-43.8624;-4.59096
-0.0573745000000000;-43.847;-4.58996
-0.0573620000000000;-43.8316;-4.58896
-0.0573495000000000;-43.8162;-4.58796
-0.0573370000000000;-43.8008;-4.58696
-0.0573245000000000;-43.7854;-4.58596
-0.0573120000000000;-43.77;-4.58496
-0.0572995000000000;-43.7546;-4.58396
-0.0572870000000000;-43.7392;-4.58296
-0.0572745000000000;-43.7238;-4.58196
-0.0572620000000000;-43.7084;-4.58096
-0.0572495000000000;-43.693;-4.57996
-0.0572370000000000;-43.6776;-4.57896
-0.0572245000000000;-43.6622;-4.57796
-0.0572120000000000;-43.6468;-4.57696
-0.0571995000000000;-43.6314;-4.57596
-0.0571870000000000;-43.616;-4.57496
-0.0571745000000000;-43.6006;-4.57396
-0.0571620000000000;-43.5852;-4.57296
-0.0571495000000000;-43.5698;-4.57196
-0.0571370000000000;-43.5544;-4.57096
-0.0571245000000000;-43.539;-4.56996
-0.0571120000000000;-43.5236;-4.56896
-0.0570995000000000;-43.5082;-4.56796
-0.0570870000000000;-43.4928;-4.56696
-0.0570745000000000;-43.4774;-4.56596
-0.0570620000000000;-43.462;-4.56496
-0.0570495000000000;-43.4466;-4.56396
-0.0570370000000000;-43.4312;-4.56296
-0.0570245000000000;-43.4158;-4.56196
-0.0570120000000000;-43.4004;-4.56096
-0.0569995000000000;-43.385;-4.55996
-0.0569870000000000;-43.3696;-4.55896
-0.0569745000000000;-43.3542;-4.55796
-0.0569620000000000;-43.3388;-4.55696
-0.0569495000000000;-43.3234;-4.55596
-0.0569370000000000;-43.308;-4.55496
