Test unit;I2;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0331118750000000;-51.2028;-2.64895
-0.0330993750000000;-51.2028;-2.64795
-0.0330868750000000;-51.2028;-2.64695
-0.0330743750000000;-51.2028;-2.64595
-0.0330618750000000;-51.2027;-2.64495
-0.0330493750000000;-51.2027;-2.64395
-0.0330368750000000;-51.2027;-2.64295
-0.0330243750000000;-51.2026;-2.64195
-0.0330118750000000;-51.2026;-2.64095
-0.0329993750000000;-51.2026;-2.63995
-0.0329868750000000;-51.2025;-2.63895
-0.0329743750000000;-51.2025;-2.63795
-0.0329618750000000;-51.2025;-2.63695
-0.0329493750000000;-51.2024;-2.63595
-0.0329368750000000;-51.2024;-2.63495
-0.0329243750000000;-51.2024;-2.63395
-0.0329118750000000;-51.2023;-2.63295
-0.0328993750000000;-51.2023;-2.63195
-0.0328868750000000;-51.2023;-2.63095
-0.0328743750000000;-51.2022;-2.62995
-0.0328618750000000;-51.2022;-2.62895
-0.0328493750000000;-51.2022;-2.62795
-0.0328368750000000;-51.2021;-2.62695
-0.0328243750000000;-51.2021;-2.62595
-0.0328118750000000;-51.2021;-2.62495
-0.0327993750000000;-51.202;-2.62395
-0.0327868750000000;-51.202;-2.62295
-0.0327743750000000;-51.202;-2.62195
-0.0327618750000000;-51.202;-2.62095
-0.0327493750000000;-51.2019;-2.61995
-0.0327368750000000;-51.2019;-2.61895
-0.0327243750000000;-51.2019;-2.61795
-0.0327118750000000;-51.2018;-2.61695
-0.0326993750000000;-51.2018;-2.61595
-0.0326868750000000;-51.2018;-2.61495
-0.0326743750000000;-51.2017;-2.61395
-0.0326618750000000;-51.2017;-2.61295
-0.0326493750000000;-51.2017;-2.61195
-0.0326368750000000;-51.2016;-2.61095
-0.0326243750000000;-51.2016;-2.60995
-0.0326118750000000;-51.2016;-2.60895
-0.0325993750000000;-51.2015;-2.60795
-0.0325868750000000;-51.2015;-2.60695
-0.0325743750000000;-51.2015;-2.60595
-0.0325618750000000;-51.2014;-2.60495
-0.0325493750000000;-51.2014;-2.60395
-0.0325368750000000;-51.2014;-2.60295
-0.0325243750000000;-51.2013;-2.60195
-0.0325118750000000;-51.2013;-2.60095
-0.0324993750000000;-51.2013;-2.59995
-0.0324868750000000;-51.2012;-2.59895
-0.0324743750000000;-51.2012;-2.59795
-0.0324618750000000;-51.2012;-2.59695
-0.0324493750000000;-51.2012;-2.59595
-0.0324368750000000;-51.2011;-2.59495
-0.0324243750000000;-51.2011;-2.59395
-0.0324118750000000;-51.2011;-2.59295
-0.0323993750000000;-51.201;-2.59195
-0.0323868750000000;-51.201;-2.59095
-0.0323743750000000;-51.201;-2.58995
-0.0323618750000000;-51.2009;-2.58895
-0.0323493750000000;-51.2009;-2.58795
-0.0323368750000000;-51.2009;-2.58695
-0.0323243750000000;-51.2008;-2.58595
-0.0323118750000000;-51.2008;-2.58495
-0.0322993750000000;-51.2008;-2.58395
-0.0322868750000000;-51.1947;-2.58295
-0.0322743750000000;-51.1793;-2.58195
-0.0322618750000000;-51.1639;-2.58095
-0.0322493750000000;-51.1486;-2.57995
-0.0322368750000000;-51.1332;-2.57895
-0.0322243750000000;-51.1178;-2.57795
-0.0322118750000000;-51.1024;-2.57695
-0.0321993750000000;-51.087;-2.57595
-0.0321868750000000;-51.0717;-2.57495
-0.0321743750000000;-51.0563;-2.57395
-0.0321618750000000;-51.0409;-2.57295
-0.0321493750000000;-51.0255;-2.57195
-0.0321368750000000;-51.0101;-2.57095
-0.0321243750000000;-50.9947;-2.56995
-0.0321118750000000;-50.9794;-2.56895
-0.0320993750000000;-50.964;-2.56795
-0.0320868750000000;-50.9486;-2.56695
-0.0320743750000000;-50.9332;-2.56595
-0.0320618750000000;-50.9178;-2.56495
-0.0320493750000000;-50.9024;-2.56395
