Test unit;IG1;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0614906250000000;-42.5641;-4.91925
-0.0614781250000000;-42.5641;-4.91825
-0.0614656250000000;-42.5641;-4.91725
-0.0614531250000000;-42.5641;-4.91625
-0.0614406250000000;-42.5641;-4.91525
-0.0614281250000000;-42.5641;-4.91425
-0.0614156250000000;-42.5641;-4.91325
-0.0614031250000000;-42.5641;-4.91225
-0.0613906250000000;-42.5641;-4.91125
-0.0613781250000000;-42.5641;-4.91025
-0.0613656250000000;-42.5641;-4.90925
-0.0613531250000000;-42.5641;-4.90825
-0.0613406250000000;-42.5641;-4.90725
-0.0613281250000000;-42.5641;-4.90625
-0.0613156250000000;-42.5641;-4.90525
-0.0613031250000000;-42.5641;-4.90425
-0.0612906250000000;-42.5641;-4.90325
-0.0612781250000000;-42.5641;-4.90225
-0.0612656250000000;-42.5641;-4.90125
-0.0612531250000000;-42.5641;-4.90025
-0.0612406250000000;-42.5641;-4.89925
-0.0612281250000000;-42.5641;-4.89825
-0.0612156250000000;-42.5641;-4.89725
-0.0612031250000000;-42.5641;-4.89625
-0.0611906250000000;-42.5641;-4.89525
-0.0611781250000000;-42.5641;-4.89425
-0.0611656250000000;-42.5641;-4.89325
-0.0611531250000000;-42.5641;-4.89225
-0.0611406250000000;-42.5641;-4.89125
-0.0611281250000000;-42.5641;-4.89025
-0.0611156250000000;-42.5641;-4.88925
-0.0611031250000000;-42.5641;-4.88825
-0.0610906250000000;-42.5641;-4.88725
-0.0610781250000000;-42.5641;-4.88625
-0.0610656250000000;-42.5369;-4.88525
-0.0610531250000000;-42.5059;-4.88425
-0.0610406250000000;-42.475;-4.88325
-0.0610281250000000;-42.444;-4.88225
-0.0610156250000000;-42.4131;-4.88125
-0.0610031250000000;-42.3821;-4.88025
-0.0609906250000000;-42.3511;-4.87925
-0.0609781250000000;-42.3202;-4.87825
-0.0609656250000000;-42.2892;-4.87725
-0.0609531250000000;-42.2583;-4.87625
-0.0609406250000000;-42.2273;-4.87525
-0.0609281250000000;-42.1963;-4.87425
-0.0609156250000000;-42.1654;-4.87325
-0.0609031250000000;-42.1344;-4.87225
-0.0608906250000000;-42.1034;-4.87125
-0.0608781250000000;-42.0725;-4.87025
-0.0608656250000000;-42.0415;-4.86925
-0.0608531250000000;-42.0106;-4.86825
-0.0608406250000000;-41.9796;-4.86725
-0.0608281250000000;-41.9486;-4.86625
-0.0608156250000000;-41.9177;-4.86525
-0.0608031250000000;-41.8867;-4.86425
-0.0607906250000000;-41.8558;-4.86325
-0.0607781250000000;-41.8248;-4.86225
-0.0607656250000000;-41.7938;-4.86125
-0.0607531250000000;-41.7629;-4.86025
-0.0607406250000000;-41.7319;-4.85925
-0.0607281250000000;-41.7009;-4.85825
-0.0607156250000000;-41.67;-4.85725
-0.0607031250000000;-41.639;-4.85625
-0.0606906250000000;-41.6081;-4.85525
-0.0606781250000000;-41.5771;-4.85425
-0.0606656250000000;-41.5461;-4.85325
-0.0606531250000000;-41.5385;-4.85225
-0.0606406250000000;-41.5385;-4.85125
-0.0606281250000000;-41.5385;-4.85025
-0.0606156250000000;-41.5385;-4.84925
-0.0606031250000000;-41.5385;-4.84825
-0.0605906250000000;-41.5385;-4.84725
-0.0605781250000000;-41.5385;-4.84625
-0.0605656250000000;-41.5385;-4.84525
-0.0605531250000000;-41.5385;-4.84425
-0.0605406250000000;-41.5385;-4.84325
-0.0605281250000000;-41.5385;-4.84225
-0.0605156250000000;-41.5385;-4.84125
-0.0605031250000000;-41.5385;-4.84025
-0.0604906250000000;-41.5385;-4.83925
-0.0604781250000000;-41.5385;-4.83825
-0.0604656250000000;-41.5385;-4.83725
-0.0604531250000000;-41.5385;-4.83625
-0.0604406250000000;-41.5385;-4.83525
-0.0604281250000000;-41.5385;-4.83425
