Test unit,PS_1
Reference,Costa et al. (2011)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
Displacement,Force,Drift
-20.660000,-29.600000,-1.054000
-20.610000,-31.400000,-1.051000
-20.430000,-31.200000,-1.042000
-20.300000,-30.500000,-1.036000
-20.280000,-32.700000,-1.035000
-19.930000,-33.700000,-1.017000
-19.230000,-33.500000,-0.981000
-18.480000,-33.200000,-0.943000
-17.710000,-32.700000,-0.904000
-16.870000,-31.900000,-0.861000
-16.500000,-31.500000,-0.842000
-16.060000,-31.300000,-0.819000
-15.990000,-30.200000,-0.816000
-15.970000,-32.100000,-0.815000
-15.890000,-37.600000,-0.811000
-15.870000,-39.100000,-0.810000
-15.780000,-40.000000,-0.805000
-15.670000,-40.100000,-0.800000
-15.600000,-40.200000,-0.796000
-15.320000,-40.200000,-0.782000
-14.920000,-39.900000,-0.761000
-14.700000,-39.600000,-0.750000
-14.530000,-39.200000,-0.742000
-14.420000,-39.100000,-0.736000
-14.300000,-39.200000,-0.729000
-14.110000,-39.600000,-0.720000
-13.250000,-39.600000,-0.676000
-12.300000,-39.400000,-0.627000
-11.800000,-39.400000,-0.602000
-11.310000,-39.300000,-0.577000
-10.310000,-39.700000,-0.526000
-9.530000,-39.300000,-0.486000
-8.790000,-39.000000,-0.449000
-8.000000,-38.700000,-0.408000
-7.160000,-38.800000,-0.365000
-6.680000,-39.200000,-0.341000
-6.440000,-41.700000,-0.329000
-6.390000,-42.500000,-0.326000
-6.250000,-42.700000,-0.319000
-6.110000,-42.500000,-0.312000
-6.000000,-42.400000,-0.306000
-5.780000,-42.000000,-0.295000
-5.090000,-40.900000,-0.259000
-4.900000,-36.100000,-0.250000
-4.880000,-48.800000,-0.249000
-4.810000,-48.500000,-0.245000
-4.660000,-48.000000,-0.238000
-4.520000,-47.600000,-0.230000
-4.200000,-46.800000,-0.214000
-4.020000,-46.300000,-0.205000
-3.860000,-45.800000,-0.197000
-3.730000,-45.300000,-0.190000
-3.600000,-44.800000,-0.184000
-3.140000,-44.000000,-0.160000
-3.050000,-40.400000,-0.156000
-3.010000,-43.100000,-0.154000
-2.960000,-45.200000,-0.151000
-2.810000,-44.600000,-0.143000
-2.660000,-43.900000,-0.136000
-2.370000,-42.600000,-0.121000
-2.110000,-41.300000,-0.108000
-2.090000,-41.300000,-0.107000
-1.910000,-39.800000,-0.097000
-1.760000,-38.200000,-0.090000
-1.640000,-36.600000,-0.083000
-1.580000,-35.700000,-0.081000
-1.490000,-35.000000,-0.076000
-1.470000,-28.900000,-0.075000
-1.470000,-30.600000,-0.075000
-1.420000,-32.100000,-0.072000
-1.330000,-30.300000,-0.068000
-1.300000,-29.400000,-0.066000
-1.250000,-28.500000,-0.064000
-1.160000,-27.200000,-0.059000
-1.140000,-29.800000,-0.058000
-1.110000,-29.600000,-0.056000
-1.030000,-28.900000,-0.053000
-1.000000,-27.900000,-0.051000
-0.920000,-25.800000,-0.047000
-0.890000,-23.200000,-0.045000
-0.850000,-21.100000,-0.043000
-0.870000,-22.400000,-0.044000
-0.850000,-24.900000,-0.043000
-0.760000,-23.700000,-0.039000
-0.650000,-22.500000,-0.033000
-0.470000,-19.900000,-0.024000
-0.370000,-18.200000,-0.019000
0.070000,-11.400000,0.003000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
-0.010000,0.000000,-0.000000
0.090000,3.600000,0.004000
0.230000,7.100000,0.012000
0.270000,7.600000,0.014000
0.360000,9.100000,0.018000
0.470000,10.600000,0.024000
0.600000,12.000000,0.031000
0.760000,13.400000,0.039000
0.850000,14.200000,0.043000
0.940000,14.900000,0.048000
1.040000,15.600000,0.053000
1.150000,16.300000,0.059000
1.540000,19.100000,0.078000
1.650000,19.900000,0.084000
1.810000,20.200000,0.092000
1.880000,19.400000,0.096000
1.920000,18.200000,0.098000
2.130000,25.100000,0.108000
2.380000,27.100000,0.122000
2.730000,28.900000,0.139000
2.950000,30.000000,0.151000
3.210000,31.100000,0.164000
3.300000,28.900000,0.168000
3.520000,31.700000,0.180000
3.670000,32.000000,0.187000
3.690000,31.200000,0.188000
3.760000,32.200000,0.192000
3.800000,32.500000,0.194000
3.850000,30.600000,0.196000
3.890000,33.400000,0.198000
4.070000,34.200000,0.208000
4.460000,35.800000,0.227000
4.620000,36.400000,0.236000
