Test unit,R2
Reference,Mazzon (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-13.13,-64.5,-1.033
-13.12,-93.3,-1.032
-13.1,-93.2,-1.031
-13.09,-93.5,-1.03
-13.08,-94.1,-1.029
-13.07,-94.4,-1.028
-13.04,-94.5,-1.026
-13.01,-94.3,-1.024
-12.99,-94.2,-1.022
-12.97,-94.8,-1.021
-12.94,-95.4,-1.018
-12.89,-95.3,-1.015
-12.85,-94.8,-1.011
-12.8,-94.4,-1.007
-12.76,-94.5,-1.004
-12.72,-95.2,-1.001
-12.67,-96.5,-0.997
-12.62,-96.7,-0.993
-12.56,-96.9,-0.988
-12.5,-96.9,-0.984
-12.43,-96.9,-0.978
-12.37,-96.7,-0.973
-12.3,-96.7,-0.968
-12.23,-96.7,-0.962
-12.16,-96.7,-0.957
-12.08,-96.6,-0.95
-12.03,-113.2,-0.946
-12.02,-113.7,-0.945
-11.99,-113.7,-0.944
-11.97,-113.4,-0.942
-11.95,-113.5,-0.94
-11.93,-113.8,-0.939
-11.92,-114.2,-0.938
-11.91,-148.8,-0.937
-11.89,-149.5,-0.936
-11.89,-150.1,-0.935
-11.88,-150.2,-0.934
-11.86,-150.3,-0.933
-11.84,-150.4,-0.932
-11.83,-150.7,-0.931
-11.81,-151.1,-0.929
-11.78,-151.3,-0.926
-11.74,-151,-0.923
-11.71,-150.9,-0.921
-11.68,-151.3,-0.919
-11.64,-151.7,-0.916
-11.6,-151.7,-0.912
-11.54,-151.5,-0.908
-11.49,-151.4,-0.904
-11.43,-151.4,-0.899
-11.37,-151.7,-0.895
-11.31,-151.8,-0.89
-11.26,-151.8,-0.886
-11.2,-151.7,-0.881
-11.13,-151.6,-0.876
-11.07,-151.7,-0.871
-11,-152,-0.866
-10.93,-152,-0.86
-10.85,-151.6,-0.853
-10.77,-151.5,-0.847
-10.69,-151.5,-0.841
-10.61,-151.7,-0.834
-10.51,-151.7,-0.827
-10.4,-151.6,-0.818
-10.3,-151.4,-0.81
-10.2,-151.3,-0.802
-10.09,-151.4,-0.794
-9.98,-151.9,-0.785
-9.91,-161.2,-0.78
-9.9,-165.7,-0.779
-9.88,-165.9,-0.778
-9.87,-166.6,-0.777
-9.85,-166.8,-0.775
-9.84,-167,-0.774
-9.82,-167.3,-0.772
-9.79,-167.4,-0.77
-9.77,-167.1,-0.769
-9.76,-169.9,-0.768
-9.75,-170.4,-0.767
-9.74,-170.6,-0.766
-9.72,-171,-0.765
-9.71,-171.5,-0.764
-9.68,-171.9,-0.762
-9.64,-169.5,-0.759
-9.63,-173.7,-0.758
-9.62,-174,-0.757
-9.61,-174.4,-0.756
-9.6,-174.7,-0.755
-9.58,-175.1,-0.754
-9.55,-175.3,-0.752
-9.53,-175.5,-0.75
-9.52,-175.7,-0.749
-9.49,-175.8,-0.747
-9.46,-175.7,-0.745
-9.43,-175.8,-0.742
-9.4,-176,-0.74
-9.37,-176.1,-0.737
-9.32,-176.2,-0.734
-9.28,-176,-0.73
-9.24,-176.1,-0.727
-9.2,-176.1,-0.724
-9.15,-176.2,-0.72
-9.11,-176.4,-0.716
-9.05,-176.8,-0.712
-8.98,-176.8,-0.706
-8.91,-176.3,-0.701
-8.84,-176,-0.696
-8.79,-176.1,-0.692
-8.75,-176.5,-0.689
-8.68,-176.6,-0.683
-8.6,-176.4,-0.676
-8.52,-176.2,-0.67
-8.44,-176.1,-0.664
-8.36,-176.1,-0.658
-8.28,-176.1,-0.651
-8.26,-178.4,-0.65
-8.25,-179,-0.649
-8.23,-178.9,-0.647
-8.21,-180.1,-0.646
-8.18,-181.1,-0.644
-8.17,-184,-0.643
-8.16,-184.2,-0.642
-8.14,-185.1,-0.641
-8.14,-186.2,-0.64
-8.12,-186.3,-0.639
-8.11,-187.1,-0.638
-8.09,-187,-0.637
-8.07,-186.8,-0.635
-8.06,-187.6,-0.634
-8.03,-187.7,-0.632
-7.99,-187.3,-0.629
-7.96,-187.1,-0.626
-7.93,-187.6,-0.624
-7.9,-187.9,-0.621
-7.86,-187.1,-0.619
-7.83,-186.3,-0.616
-7.82,-187.2,-0.615
-7.79,-188.1,-0.613
-7.72,-187.8,-0.608
-7.66,-187.1,-0.603
-7.62,-186.7,-0.6
-7.58,-186.9,-0.597
-7.54,-187.2,-0.593
-7.48,-187.4,-0.588
