Test unit,RS6,
Reference,Rezaie et al. (2020),
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-17.682,-27.02,-1.1051
-17.678,-27.09,-1.1049
-17.678,-27.09,-1.1049
-17.289,-28.83,-1.0805
-16.788,-29,-1.0493
-16.381,-32.31,-1.0238
-16.363,-34.55,-1.0227
-15.938,-35.25,-0.99611
-15.436,-35.28,-0.96472
-14.945,-35.3,-0.93404
-14.443,-35.31,-0.9027
-13.945,-35.45,-0.87158
-13.453,-35.43,-0.84078
-12.958,-35.27,-0.80988
-12.889,-38.84,-0.80558
-12.886,-39.05,-0.80539
-12.881,-38.99,-0.80509
-12.86,-41.01,-0.80374
-12.556,-41.45,-0.78475
-12.423,-42.67,-0.77642
-12.303,-45.23,-0.76895
-11.901,-45.28,-0.7438
-11.499,-45.33,-0.71871
-11.09,-45.37,-0.69309
-10.687,-45.43,-0.66794
-10.284,-45.42,-0.64278
-9.8786,-45.46,-0.61741
-9.4677,-45.62,-0.59173
-9.0633,-45.64,-0.56646
-8.6585,-45.7,-0.54116
-8.2555,-45.82,-0.51597
-8.2536,-48.26,-0.51585
-8.2522,-48.12,-0.51576
-8.229,-49.25,-0.51432
-8.2262,-47.53,-0.51414
-8.213,-48.59,-0.51331
-8.0976,-49.09,-0.5061
-7.8401,-48.88,-0.49001
-7.5846,-48.65,-0.47404
-7.3289,-48.39,-0.45806
-7.0768,-48.11,-0.4423
-6.8405,-46.54,-0.42753
-6.8395,-47.41,-0.42747
-6.6547,-47.6,-0.41592
-6.4027,-47.3,-0.40017
-6.1563,-46.96,-0.38477
-5.9027,-46.57,-0.36892
-5.6525,-46.13,-0.35328
-5.448,-44.99,-0.3405
-5.4346,-45.76,-0.33966
-5.3799,-46.2,-0.33624
-5.1698,-45.88,-0.32311
-4.9653,-45.51,-0.31033
-4.7563,-45.11,-0.29727
-4.5478,-44.64,-0.28424
-4.3453,-44.12,-0.27158
-4.1397,-43.52,-0.25873
-4.0471,-42.61,-0.25295
-4.0169,-41.9,-0.25105
-4.0105,-42.74,-0.25065
-3.9091,-42.73,-0.24432
-3.7465,-42.15,-0.23415
-3.5826,-41.51,-0.22391
-3.418,-40.79,-0.21362
-3.3299,-38.57,-0.20812
-3.3246,-39.69,-0.20779
-3.2502,-39.84,-0.20313
-3.1288,-39.27,-0.19555
-3.0043,-38.67,-0.18777
-2.8795,-38.01,-0.17997
-2.7668,-37.31,-0.17293
-2.6663,-35.81,-0.16664
-2.646,-35.96,-0.16538
-2.5628,-35.5,-0.16017
-2.4846,-35,-0.15529
-2.4021,-34.47,-0.15013
-2.3187,-33.92,-0.14492
-2.2357,-33.3,-0.13973
-2.1531,-32.67,-0.13457
-2.0828,-32.03,-0.13018
-1.9958,-31.35,-0.12473
-1.9755,-29.64,-0.12347
-1.9683,-29.27,-0.12302
-1.9565,-30.44,-0.12228
-1.8805,-29.86,-0.11753
-1.8013,-29.26,-0.11258
-1.724,-28.66,-0.10775
-1.6445,-28.05,-0.10278
-1.5682,-27.41,-0.098014
-1.4945,-26.74,-0.093405
-1.4184,-26.04,-0.088649
-1.3397,-25.28,-0.08373
-1.3123,-23.37,-0.082019
-1.3098,-23.06,-0.081862
-1.3036,-23.98,-0.081475
-1.2646,-23.67,-0.079036
-1.2242,-23.37,-0.076513
-1.1863,-23.05,-0.074145
-1.1466,-22.72,-0.071662
-1.1119,-22.38,-0.069496
-1.0712,-22.03,-0.066953
-1.0327,-21.69,-0.064541
-0.99574,-21.33,-0.062233
-0.95648,-20.98,-0.05978
-0.91689,-20.62,-0.057306
-0.87783,-20.24,-0.054864
-0.83858,-19.84,-0.052411
-0.80099,-19.45,-0.050062
-0.7609,-19.03,-0.047556
-0.72445,-18.6,-0.045278
-0.69017,-18.14,-0.043136
-0.65425,-17.65,-0.040891
-0.64301,-14.92,-0.040188
-0.63803,-15.91,-0.039877
-0.60297,-15.76,-0.037686
-0.566,-15.3,-0.035375
-0.53168,-14.8,-0.03323
-0.49331,-14.31,-0.030832
-0.45637,-13.79,-0.028523
-0.42364,-13.24,-0.026478
-0.38417,-12.68,-0.024011
-0.34908,-12.1,-0.021817
-0.33177,-9.321,-0.020736
-0.33089,-10.48,-0.020681
-0.29519,-10.14,-0.018449
-0.25904,-9.555,-0.01619
-0.22701,-8.959,-0.014188
-0.1921,-8.343,-0.012006
-0.15796,-7.717,-0.0098724
-0.12422,-7.086,-0.0077635
-0.090121,-6.446,-0.0056326
-0.053811,-5.769,-0.0033632
-0.024261,-5.083,-0.0015163
0,0,0
0.015661,0.4932,0.00097881
0.02412,0.9388,0.0015075
0.03712,1.382,0.00232
0.053551,1.754,0.0033469
0.065,2.098,0.0040625
0.072059,2.421,0.0045037
0.085698,2.767,0.0053561
0.095879,3.04,0.0059924
0.11213,3.347,0.0070081
0.12388,3.615,0.0077422
0.13581,3.893,0.0084883
0.1496,4.173,0.0093499
0.15972,4.417,0.0099827
0.17402,4.683,0.010876
0.18729,4.939,0.011705
0.19372,5.189,0.012107
0.21143,5.42,0.013214
0.22592,5.691,0.01412
0.24094,5.921,0.015059
0.25224,6.146,0.015765
0.26675,6.385,0.016672
0.27831,6.604,0.017395
0.28856,6.828,0.018035
0.30811,7.06,0.019257
0.31924,7.284,0.019953
0.33557,7.508,0.020973
0.34396,7.722,0.021498
0.36262,7.942,0.022664
0.36736,8.167,0.02296
0.37365,9.322,0.023353
0.37995,8.55,0.023747
0.38391,9.342,0.023995
0.41948,9.994,0.026218
0.4515,10.61,0.028218
0.49008,11.19,0.03063
0.5269,11.74,0.032931
0.56099,12.28,0.035062
0.5976,12.8,0.03735
0.63603,13.32,0.039752
0.67023,13.84,0.041889
0.70582,14.35,0.044114
0.74122,14.84,0.046326
0.74338,14.02,0.046461
0.74392,14.01,0.046495
0.74937,15.32,0.046836
0.78137,15.99,0.048836
0.8189,16.58,0.051181
0.85779,17.14,0.053612
0.89577,17.69,0.055986
0.93457,18.22,0.05841
0.97391,18.74,0.060869
1.0066,19.26,0.062911
1.0479,19.75,0.065492
1.0853,20.26,0.067828
1.1217,20.74,0.070107
1.1559,21.24,0.072243
1.1915,21.73,0.074471
1.2348,22.21,0.077174
1.2703,22.66,0.079393
1.3124,23.14,0.082026
1.3511,23.62,0.084444
1.3885,24.07,0.086783
1.4237,24.53,0.088981
1.4368,24.75,0.089797
1.4534,23.34,0.090836
1.5066,26.75,0.094164
1.5843,27.76,0.099018
1.6541,28.72,0.10338
1.7312,29.62,0.1082
1.8176,30.47,0.1136
1.8967,31.3,0.11855
1.9693,32.1,0.12308
2.0491,32.87,0.12807
2.1289,33.62,0.13306
2.1565,33.9,0.13478
2.1646,32.59,0.13529
2.1709,32.81,0.13568
2.2398,35.43,0.13999
2.3188,36.33,0.14492
2.3978,37.16,0.14986
2.4755,37.93,0.15472
2.5543,38.64,0.15964
2.6384,39.35,0.1649
2.7238,39.98,0.17024
2.8028,40.59,0.17517
2.8824,41.18,0.18015
2.8891,39.99,0.18057
2.8901,40.04,0.18063
2.8989,41.02,0.18118
3.023,42.12,0.18894
3.1438,43.06,0.19649
3.2652,43.77,0.20407
3.3914,44.38,0.21196
3.5163,44.99,0.21977
3.5884,44.92,0.22428
3.5971,43.75,0.22482
3.6208,44.73,0.2263
3.6248,43.36,0.22655
3.6257,43.66,0.22661
3.6948,44.84,0.23092
3.8556,45.46,0.24097
4.023,46.05,0.25143
4.1874,46.4,0.26171
4.3459,46.85,0.27162
4.4453,46.1,0.27783
4.6518,46.63,0.29074
4.8573,47.14,0.30358
5.0653,47.49,0.31658
5.2799,47.72,0.32999
5.4867,47.94,0.34292
5.6462,47.78,0.35289
5.6477,46.84,0.35298
5.665,46.36,0.35406
5.7845,46.65,0.36153
6.0418,47.01,0.37761
6.292,47.39,0.39325
6.5444,47.83,0.40902
6.7977,47.94,0.42485
7.0176,48.07,0.4386
7.0204,47.63,0.43877
7.2655,47.47,0.45409
7.5135,47.51,0.4696
7.7713,47.77,0.48571
7.9406,47.74,0.49629
7.9456,47.66,0.4966
7.9478,47.3,0.49674
8.2096,48.11,0.5131
8.2844,47.59,0.51778
8.2986,45.5,0.51866
8.3049,46.68,0.51906
8.3052,47.96,0.51908
8.5492,48.32,0.53432
8.7104,48.11,0.5444
8.9467,42.44,0.55917
9.3402,41.57,0.58376
9.7325,40.85,0.60828
10.12,40.44,0.6325
10.51,40.01,0.6569
10.894,39.55,0.68087
11.282,38.86,0.70513
11.661,38.57,0.72879
11.699,36.54,0.73116
11.949,30.71,0.74682
12.35,30.52,0.77187
12.564,29.9,0.78525
12.567,29.06,0.78541
12.569,28.58,0.78556
12.812,26.78,0.80074
13.292,26.79,0.83077
13.787,26.73,0.86169
