Test unit,S2
Reference,Mazzon (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-10.47,-97.6,-0.738
-10.46,-182.7,-0.737
-10.45,-183.4,-0.736
-10.44,-183.8,-0.735
-10.43,-184.1,-0.734
-10.41,-184.4,-0.733
-10.4,-184.8,-0.732
-10.38,-185.1,-0.731
-10.35,-185.3,-0.729
-10.33,-185.5,-0.728
-10.3,-185.9,-0.726
-10.27,-186.3,-0.723
-10.22,-186.2,-0.72
-10.18,-186.1,-0.717
-10.15,-186.1,-0.715
-10.12,-186.5,-0.713
-10.08,-186.7,-0.71
-10.03,-186.5,-0.706
-9.98,-186.3,-0.703
-9.94,-186.2,-0.7
-9.89,-186.4,-0.697
-9.84,-186.8,-0.693
-9.78,-187,-0.689
-9.72,-186.9,-0.684
-9.65,-186.4,-0.679
-9.59,-186,-0.675
-9.52,-185.9,-0.671
-9.46,-185.8,-0.666
-9.39,-186.1,-0.662
-9.31,-206.6,-0.656
-9.3,-226.2,-0.655
-9.29,-227.8,-0.654
-9.27,-228.1,-0.653
-9.25,-228.2,-0.652
-9.23,-227.9,-0.65
-9.21,-227.8,-0.649
-9.19,-228.5,-0.647
-9.17,-229.8,-0.646
-9.16,-230.6,-0.645
-9.13,-230.4,-0.643
-9.1,-229.9,-0.641
-9.07,-229.8,-0.639
-9.05,-230.2,-0.637
-9.01,-230.3,-0.635
-8.97,-230.1,-0.632
-8.92,-229.5,-0.628
-8.89,-229.2,-0.626
-8.85,-229.3,-0.623
-8.8,-229.1,-0.62
-8.75,-228.6,-0.616
-8.69,-228.2,-0.612
-8.64,-228,-0.608
-8.58,-227.8,-0.604
-8.51,-227.3,-0.599
-8.46,-226.7,-0.596
-8.41,-226.2,-0.592
-8.34,-230,-0.588
-8.33,-238.7,-0.587
-8.32,-239.1,-0.586
-8.31,-239.5,-0.585
-8.29,-239.6,-0.584
-8.27,-239.6,-0.582
-8.25,-240,-0.581
-8.24,-240.1,-0.58
-8.22,-240.1,-0.579
-8.2,-240,-0.577
-8.18,-240.1,-0.576
-8.15,-240.2,-0.574
-8.12,-240,-0.572
-8.09,-239.8,-0.57
-8.06,-239.6,-0.568
-8.03,-239.8,-0.566
-8,-239.8,-0.563
-7.95,-239.5,-0.56
-7.9,-238.7,-0.556
-7.86,-238.1,-0.553
-7.8,-238,-0.549
-7.75,-237.3,-0.546
-7.71,-237.2,-0.543
-7.68,-237.3,-0.541
-7.63,-236.9,-0.537
-7.56,-236,-0.533
-7.5,-235.2,-0.529
-7.45,-234.8,-0.525
-7.4,-234.5,-0.521
-7.35,-230.9,-0.518
-7.34,-242.8,-0.517
-7.32,-244.2,-0.516
-7.31,-244.4,-0.515
-7.3,-244.7,-0.514
-7.28,-244.9,-0.513
-7.26,-245.4,-0.512
-7.25,-245.6,-0.51
-7.23,-245.6,-0.509
-7.21,-245.7,-0.508
-7.19,-245.5,-0.506
-7.16,-245.3,-0.504
-7.13,-245,-0.502
-7.11,-245,-0.501
-7.09,-245,-0.499
-7.06,-245,-0.497
-7.02,-245,-0.495
-6.98,-244.7,-0.492
-6.94,-244.3,-0.488
-6.89,-243.7,-0.485
-6.84,-243.2,-0.482
-6.81,-242.9,-0.48
-6.78,-242.5,-0.477
-6.74,-242.1,-0.474
-6.69,-241.7,-0.471
-6.64,-241.4,-0.468
-6.59,-241.1,-0.464
-6.53,-240.5,-0.46
-6.47,-239.5,-0.456
-6.41,-238.5,-0.451
-6.35,-235,-0.448
-6.34,-241.9,-0.447
-6.33,-250.9,-0.446
-6.31,-251,-0.445
-6.3,-251,-0.444
-6.28,-252.4,-0.443
-6.27,-252.6,-0.442
-6.26,-252.6,-0.441
-6.24,-252.8,-0.44
-6.22,-252.6,-0.438
-6.21,-252.5,-0.437
-6.19,-252.6,-0.436
-6.17,-252.7,-0.434
-6.14,-252.4,-0.432
-6.11,-251.9,-0.43
-6.09,-251.8,-0.429
-6.07,-251.9,-0.427
-6.04,-251.9,-0.425
-6,-251.7,-0.423
-5.96,-251.4,-0.42
-5.92,-250.9,-0.417
-5.89,-250.5,-0.415
-5.86,-250.1,-0.413
-5.83,-249.7,-0.41
-5.79,-249.5,-0.408
-5.76,-249.4,-0.406
-5.72,-249,-0.403
-5.67,-248.4,-0.399
-5.62,-247.5,-0.396
-5.57,-246.7,-0.392
