Test unit,SC5,
Reference,Godio et al. (2019),
top_displacement,horizontal_force,drift
[mm],[kN],[%]
Displacement,Force,Drift
-21.843137,-50.030000,-2.427015
-21.186837,-68.540000,-2.354093
-19.162587,-69.450000,-2.129176
-17.321237,-65.830000,-1.924582
-16.940537,-60.820000,-1.882282
-16.768237,-67.800000,-1.863137
-16.148487,-65.290000,-1.794276
-16.140487,-66.850000,-1.793387
-15.328887,-72.600000,-1.703210
-13.469987,-75.160000,-1.496665
-11.655687,-76.040000,-1.295076
-9.829472,-76.340000,-1.092164
-9.784042,-71.270000,-1.087116
-9.379617,-77.390000,-1.042180
-8.521582,-82.610000,-0.946842
-8.511787,-84.810000,-0.945754
-7.820407,-90.710000,-0.868934
-6.532232,-92.350000,-0.725804
-6.326432,-89.630000,-0.702937
-6.114907,-96.310000,-0.679434
-5.879102,-96.550000,-0.653234
-5.346587,-98.610000,-0.594065
-4.726512,-97.580000,-0.525168
-4.282452,-104.380000,-0.475828
-4.089427,-107.210000,-0.454381
-3.610157,-100.400000,-0.401129
-2.936742,-101.850000,-0.326305
-2.845397,-105.860000,-0.316155
-2.492507,-104.400000,-0.276945
-2.187107,-94.460000,-0.243012
-2.055142,-104.250000,-0.228349
-1.753427,-103.900000,-0.194825
-1.437192,-103.000000,-0.159688
-1.349067,-91.120000,-0.149896
-1.329007,-90.500000,-0.147667
-1.295422,-95.290000,-0.143936
-1.219447,-98.250000,-0.135494
-1.026327,-81.940000,-0.114036
-0.971347,-86.010000,-0.107927
-0.966277,-87.760000,-0.107364
-0.901609,-89.650000,-0.100179
-0.812018,-86.920000,-0.090224
-0.665390,-83.470000,-0.073932
-0.628486,-68.380000,-0.069832
-0.593780,-72.830000,-0.065976
-0.569372,-64.570000,-0.063264
-0.544525,-69.060000,-0.060503
-0.547087,-70.820000,-0.060787
-0.451900,-69.520000,-0.050211
-0.326998,-61.320000,-0.036333
-0.221752,-51.680000,-0.024639
-0.127480,-40.690000,-0.014164
-0.024328,-29.260000,-0.002703
0.061288,-17.680000,0.006810
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
-0.003013,8.814000,-0.000335
0.039573,15.980000,0.004397
0.074842,23.420000,0.008316
0.110747,29.800000,0.012305
0.142345,36.460000,0.015816
0.178204,42.820000,0.019800
0.227407,48.650000,0.025267
0.264535,52.520000,0.029393
0.303946,53.190000,0.033772
0.306316,60.020000,0.034035
0.352409,65.270000,0.039156
0.407760,70.060000,0.045307
0.461699,73.980000,0.051300
0.524826,77.900000,0.058314
0.582427,80.230000,0.064714
0.598578,79.190000,0.066509
0.652590,79.650000,0.072510
0.748794,91.290000,0.083199
0.910977,95.840000,0.101220
1.020397,96.240000,0.113377
1.069500,88.890000,0.118833
1.102138,100.590000,0.122460
1.296063,104.470000,0.144007
1.470578,105.650000,0.163398
1.486563,94.390000,0.165174
1.640028,110.110000,0.182225
2.090418,110.510000,0.232269
2.276598,108.100000,0.252955
2.293508,106.830000,0.254834
2.296878,105.640000,0.255209
2.301988,100.850000,0.255776
2.499618,109.710000,0.277735
2.650523,112.130000,0.294503
3.024923,112.750000,0.336103
3.347993,104.170000,0.371999
3.411768,109.980000,0.379085
3.771288,111.250000,0.419032
4.289843,112.090000,0.476649
4.362348,107.800000,0.484705
4.442138,107.860000,0.493571
4.880723,109.440000,0.542303
5.458543,109.720000,0.606505
5.536023,105.090000,0.615114
6.072858,98.860000,0.674762
6.102248,97.350000,0.678028
6.124163,97.110000,0.680463
6.704583,97.640000,0.744954
7.228523,96.730000,0.803169
7.963263,88.890000,0.884807
8.859473,86.430000,0.984386
9.485693,66.100000,1.053966
11.529563,63.780000,1.281063
11.910213,59.470000,1.323357
13.431913,54.010000,1.492435
14.960263,55.250000,1.662251
15.925863,37.890000,1.769540
