Test unit,T1-2
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-9.07,-76.1,-0.725
-9.05,-76.4,-0.724
-8.95,-76.1,-0.716
-8.77,-75.4,-0.701
-8.57,-76.4,-0.685
-8.55,-77,-0.684
-8.46,-76.4,-0.677
-8.29,-76.1,-0.663
-8.07,-77,-0.646
-8.05,-77.6,-0.644
-7.98,-77.3,-0.638
-7.82,-76.7,-0.625
-7.6,-75.8,-0.608
-7.56,-78,-0.605
-7.54,-78,-0.603
-7.46,-77.6,-0.597
-7.3,-77.3,-0.584
-7.09,-76.4,-0.567
-7.07,-77.3,-0.565
-7.02,-77.3,-0.562
-6.93,-78.6,-0.554
-6.78,-77.6,-0.542
-6.58,-76.7,-0.527
-6.56,-76.4,-0.525
-6.55,-79.2,-0.524
-6.49,-79.5,-0.519
-6.36,-78.9,-0.509
-6.2,-78,-0.496
-6.08,-76.7,-0.487
-6.07,-79.2,-0.486
-6.05,-80.5,-0.484
-5.99,-80.1,-0.479
-5.85,-79.5,-0.468
-5.67,-78.9,-0.454
-5.56,-80.1,-0.445
-5.55,-80.8,-0.444
-5.49,-80.8,-0.439
-5.36,-80.1,-0.429
-5.2,-79.5,-0.416
-5.06,-79.8,-0.405
-5.04,-81.7,-0.403
-4.98,-81.4,-0.398
-4.88,-80.8,-0.391
-4.73,-80.1,-0.379
-4.55,-81.4,-0.364
-4.53,-82.6,-0.362
-4.49,-82.3,-0.359
-4.41,-82.3,-0.353
-4.29,-81.7,-0.343
-4.13,-80.1,-0.331
-4.04,-83.3,-0.323
-4,-83.3,-0.32
-3.95,-83,-0.316
-3.85,-82.6,-0.308
-3.74,-81.4,-0.299
-3.58,-80.1,-0.286
-3.54,-78,-0.284
-3.53,-83,-0.283
-3.5,-83,-0.28
-3.44,-82.6,-0.275
-3.35,-82,-0.268
-3.21,-81.1,-0.257
-3.06,-79.2,-0.245
-3.02,-81.7,-0.242
-3.01,-82,-0.241
-2.97,-82,-0.237
-2.9,-81.7,-0.232
-2.81,-80.8,-0.224
-2.7,-79.5,-0.216
-2.55,-77.3,-0.204
-2.53,-79.8,-0.202
-2.49,-80.1,-0.2
-2.45,-79.5,-0.196
-2.38,-79.2,-0.19
-2.29,-78,-0.183
-2.18,-76.4,-0.175
-2.04,-73.9,-0.164
-2.01,-75.1,-0.161
-1.97,-75.1,-0.158
-1.92,-74.5,-0.153
-1.85,-73.6,-0.148
-1.78,-72.6,-0.142
-1.69,-71.1,-0.135
-1.57,-69.2,-0.126
-1.49,-64.8,-0.119
-1.48,-68.2,-0.118
-1.46,-67.9,-0.116
-1.42,-67.6,-0.114
-1.38,-65.7,-0.11
-1.33,-66.1,-0.106
-1.26,-65.1,-0.101
-1.19,-63.2,-0.095
-1.09,-60.7,-0.087
-1,-57.6,-0.08
-0.96,-56.4,-0.077
-0.93,-56.4,-0.075
-0.9,-55.4,-0.072
-0.88,-54.2,-0.07
-0.82,-53.2,-0.066
-0.79,-52,-0.063
-0.74,-50.4,-0.059
-0.67,-48.2,-0.054
-0.61,-45.1,-0.049
-0.55,-40.1,-0.044
-0.54,-41.3,-0.043
-0.51,-40.4,-0.041
-0.5,-39.8,-0.04
-0.47,-37.9,-0.038
-0.45,-36.3,-0.036
-0.42,-35.4,-0.033
-0.37,-33.5,-0.03
-0.34,-29.7,-0.027
-0.3,-29.7,-0.024
-0.25,-26.6,-0.02
-0.2,-24.1,-0.016
-0.15,-21.6,-0.012
-0.11,-18.5,-0.009
-0.09,0.3,-0.007
0.01,6.6,0.001
0.06,9.7,0.005
0.12,12.5,0.009
0.16,16.6,0.013
0.21,18.8,0.017
0.26,21.3,0.021
0.3,22.9,0.024
0.35,25,0.028
0.39,26.6,0.031
0.42,28.2,0.033
0.45,29.4,0.036
0.48,31,0.039
0.51,31.6,0.041
0.52,32.6,0.042
0.55,32.9,0.044
0.56,32.2,0.045
0.63,36.3,0.051
0.7,39.1,0.056
0.76,41.3,0.061
0.81,42.6,0.065
0.85,43.5,0.068
0.9,45.1,0.072
0.93,46,0.075
0.95,46.6,0.076
0.97,45.4,0.078
0.99,36.6,0.079
1.02,47,0.081
1.11,50.1,0.089
1.21,52.3,0.097
1.28,53.8,0.103
1.35,55.1,0.108
1.39,55.7,0.111
1.45,56.4,0.116
