Test unit;URM 1;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0153527500000000;-29.2308;-1.22822
-0.0153402500000000;-29.2308;-1.22722
-0.0153277500000000;-29.2308;-1.22622
-0.0153152500000000;-29.2308;-1.22522
-0.0153027500000000;-29.2308;-1.22422
-0.0152902500000000;-29.2308;-1.22322
-0.0152777500000000;-29.2308;-1.22222
-0.0152652500000000;-29.2308;-1.22122
-0.0152527500000000;-29.2308;-1.22022
-0.0152402500000000;-29.2308;-1.21922
-0.0152277500000000;-29.2308;-1.21822
-0.0152152500000000;-29.2308;-1.21722
-0.0152027500000000;-29.2308;-1.21622
-0.0151902500000000;-29.2308;-1.21522
-0.0151777500000000;-29.2308;-1.21422
-0.0151652500000000;-29.2308;-1.21322
-0.0151527500000000;-29.2308;-1.21222
-0.0151402500000000;-29.2308;-1.21122
-0.0151277500000000;-29.2308;-1.21022
-0.0151152500000000;-29.2308;-1.20922
-0.0151027500000000;-29.2308;-1.20822
-0.0150902500000000;-29.2308;-1.20722
-0.0150777500000000;-29.2308;-1.20622
-0.0150652500000000;-29.2308;-1.20522
-0.0150527500000000;-29.2308;-1.20422
-0.0150402500000000;-29.2308;-1.20322
-0.0150277500000000;-29.2308;-1.20222
-0.0150152500000000;-29.2308;-1.20122
-0.0150027500000000;-29.2308;-1.20022
-0.0149902500000000;-29.2308;-1.19922
-0.0149777500000000;-29.2308;-1.19822
-0.0149652500000000;-29.2308;-1.19722
-0.0149527500000000;-29.2308;-1.19622
-0.0149402500000000;-29.2308;-1.19522
-0.0149277500000000;-29.3916;-1.19422
-0.0149152500000000;-29.5924;-1.19322
-0.0149027500000000;-29.7933;-1.19222
-0.0148902500000000;-29.9941;-1.19122
-0.0148777500000000;-30.1949;-1.19022
-0.0148652500000000;-30.3958;-1.18922
-0.0148527500000000;-30.5966;-1.18822
-0.0148402500000000;-30.7974;-1.18722
-0.0148277500000000;-30.9983;-1.18622
-0.0148152500000000;-31.1991;-1.18522
-0.0148027500000000;-31.3999;-1.18422
-0.0147902500000000;-31.6008;-1.18322
-0.0147777500000000;-31.8016;-1.18222
-0.0147652500000000;-32.0024;-1.18122
-0.0147527500000000;-32.2033;-1.18022
-0.0147402500000000;-32.4041;-1.17922
-0.0147277500000000;-32.6049;-1.17822
-0.0147152500000000;-32.8058;-1.17722
-0.0147027500000000;-33.0066;-1.17622
-0.0146902500000000;-33.2074;-1.17522
-0.0146777500000000;-33.4083;-1.17422
-0.0146652500000000;-33.6091;-1.17322
-0.0146527500000000;-33.8099;-1.17222
-0.0146402500000000;-34.0108;-1.17122
-0.0146277500000000;-34.2116;-1.17022
-0.0146152500000000;-34.4124;-1.16922
-0.0146027500000000;-34.6133;-1.16822
-0.0145902500000000;-34.8141;-1.16722
-0.0145777500000000;-35.0149;-1.16622
-0.0145652500000000;-35.2158;-1.16522
-0.0145527500000000;-35.4166;-1.16422
-0.0145402500000000;-35.6174;-1.16322
-0.0145277500000000;-35.8183;-1.16222
-0.0145152500000000;-35.8974;-1.16122
-0.0145027500000000;-35.8974;-1.16022
-0.0144902500000000;-35.8974;-1.15922
-0.0144777500000000;-35.8974;-1.15822
-0.0144652500000000;-35.8974;-1.15722
-0.0144527500000000;-35.8974;-1.15622
-0.0144402500000000;-35.8974;-1.15522
-0.0144277500000000;-35.8974;-1.15422
-0.0144152500000000;-35.8974;-1.15322
-0.0144027500000000;-35.8974;-1.15222
-0.0143902500000000;-35.8974;-1.15122
-0.0143777500000000;-35.8974;-1.15022
-0.0143652500000000;-35.8974;-1.14922
-0.0143527500000000;-35.8974;-1.14822
-0.0143402500000000;-35.8974;-1.14722
-0.0143277500000000;-35.8974;-1.14622
-0.0143152500000000;-35.8974;-1.14522
-0.0143027500000000;-35.8974;-1.14422
-0.0142902500000000;-35.8974;-1.14322
