Test unit;URM2;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0229688750000000;-30.9265;-1.83751
-0.0229563750000000;-30.9265;-1.83651
-0.0229438750000000;-30.9265;-1.83551
-0.0229313750000000;-30.9265;-1.83451
-0.0229188750000000;-30.9265;-1.83351
-0.0229063750000000;-30.9265;-1.83251
-0.0228938750000000;-30.9265;-1.83151
-0.0228813750000000;-30.9265;-1.83051
-0.0228688750000000;-30.9265;-1.82951
-0.0228563750000000;-30.9265;-1.82851
-0.0228438750000000;-30.9265;-1.82751
-0.0228313750000000;-30.9265;-1.82651
-0.0228188750000000;-30.9265;-1.82551
-0.0228063750000000;-30.9265;-1.82451
-0.0227938750000000;-30.9265;-1.82351
-0.0227813750000000;-30.9265;-1.82251
-0.0227688750000000;-30.9265;-1.82151
-0.0227563750000000;-30.9265;-1.82051
-0.0227438750000000;-30.9265;-1.81951
-0.0227313750000000;-30.9265;-1.81851
-0.0227188750000000;-30.9265;-1.81751
-0.0227063750000000;-30.9265;-1.81651
-0.0226938750000000;-30.9265;-1.81551
-0.0226813750000000;-30.9265;-1.81451
-0.0226688750000000;-30.9265;-1.81351
-0.0226563750000000;-30.9265;-1.81251
-0.0226438750000000;-30.9265;-1.81151
-0.0226313750000000;-30.9265;-1.81051
-0.0226188750000000;-30.9265;-1.80951
-0.0226063750000000;-30.9265;-1.80851
-0.0225938750000000;-30.9265;-1.80751
-0.0225813750000000;-30.9265;-1.80651
-0.0225688750000000;-30.9265;-1.80551
-0.0225563750000000;-30.9265;-1.80451
-0.0225438750000000;-30.9265;-1.80351
-0.0225313750000000;-30.9265;-1.80251
-0.0225188750000000;-30.9265;-1.80151
-0.0225063750000000;-30.9265;-1.80051
-0.0224938750000000;-30.9265;-1.79951
-0.0224813750000000;-30.9265;-1.79851
-0.0224688750000000;-30.9265;-1.79751
-0.0224563750000000;-30.9265;-1.79651
-0.0224438750000000;-30.9265;-1.79551
-0.0224313750000000;-30.9265;-1.79451
-0.0224188750000000;-30.9265;-1.79351
-0.0224063750000000;-30.9265;-1.79251
-0.0223938750000000;-30.9265;-1.79151
-0.0223813750000000;-30.9265;-1.79051
-0.0223688750000000;-30.9265;-1.78951
-0.0223563750000000;-30.9265;-1.78851
-0.0223438750000000;-30.9265;-1.78751
-0.0223313750000000;-30.9265;-1.78651
-0.0223188750000000;-30.9265;-1.78551
-0.0223063750000000;-30.9265;-1.78451
-0.0222938750000000;-30.9265;-1.78351
-0.0222813750000000;-30.9265;-1.78251
-0.0222688750000000;-30.9265;-1.78151
-0.0222563750000000;-30.9265;-1.78051
-0.0222438750000000;-30.9265;-1.77951
-0.0222313750000000;-30.9265;-1.77851
-0.0222188750000000;-30.9265;-1.77751
-0.0222063750000000;-30.9265;-1.77651
-0.0221938750000000;-30.9265;-1.77551
-0.0221813750000000;-30.9265;-1.77451
-0.0221688750000000;-30.9265;-1.77351
-0.0221563750000000;-30.9265;-1.77251
-0.0221438750000000;-30.9265;-1.77151
-0.0221313750000000;-30.9265;-1.77051
-0.0221188750000000;-30.9265;-1.76951
-0.0221063750000000;-30.9265;-1.76851
-0.0220938750000000;-30.9265;-1.76751
-0.0220813750000000;-30.9265;-1.76651
-0.0220688750000000;-30.9265;-1.76551
-0.0220563750000000;-30.9265;-1.76451
-0.0220438750000000;-30.9265;-1.76351
-0.0220313750000000;-30.9265;-1.76251
-0.0220188750000000;-30.9265;-1.76151
-0.0220063750000000;-30.9265;-1.76051
-0.0219938750000000;-30.9265;-1.75951
-0.0219813750000000;-30.9265;-1.75851
-0.0219688750000000;-30.9265;-1.75751
-0.0219563750000000;-30.9265;-1.75651
-0.0219438750000000;-30.9265;-1.75551
-0.0219313750000000;-30.9265;-1.75451
-0.0219188750000000;-30.9265;-1.75351
-0.0219063750000000;-30.9265;-1.75251
