Test unit,C5
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.13,3.3,0.01
0.12,1.4,0.009
0.1,-0.3,0.008
0.09,-1.6,0.007
0.09,-3,0.006
0.08,-4.4,0.006
0.06,-5.9,0.005
0.05,-7.4,0.004
0.04,-9.1,0.003
0.03,-10.8,0.003
0.02,-12.9,0.002
0.01,-15.2,0.001
-0,-17.5,-0
-0.02,-19.4,-0.001
-0.03,-20.9,-0.002
-0.04,-22.3,-0.003
-0.04,-23.9,-0.003
-0.05,-25.3,-0.004
-0.06,-26.7,-0.005
-0.07,-28,-0.005
-0.08,-29.4,-0.006
-0.09,-30.9,-0.007
-0.1,-32.1,-0.007
-0.1,-33.5,-0.007
-0.1,-35,-0.007
-0.09,-36.3,-0.007
-0.1,-37.6,-0.007
-0.1,-39.1,-0.007
-0.1,-40.7,-0.007
-0.1,-41.9,-0.008
-0.11,-43.6,-0.008
-0.11,-45.3,-0.008
-0.12,-46.7,-0.009
-0.12,-48.3,-0.009
-0.11,-49.9,-0.008
-0.12,-51.2,-0.009
-0.13,-52.3,-0.009
-0.13,-53.8,-0.01
-0.13,-55.2,-0.01
-0.13,-56.6,-0.01
-0.14,-58,-0.011
-0.15,-59.3,-0.011
-0.16,-60.7,-0.012
-0.17,-62.1,-0.012
-0.18,-63.6,-0.013
-0.19,-65,-0.014
-0.2,-66.5,-0.015
-0.21,-67.9,-0.015
-0.22,-69.3,-0.017
-0.23,-70.8,-0.017
-0.24,-72.3,-0.017
-0.25,-73.2,-0.019
-0.26,-74.7,-0.02
-0.28,-75.9,-0.02
-0.29,-77,-0.021
-0.3,-78.4,-0.022
-0.31,-79.8,-0.023
-0.32,-80.9,-0.024
-0.33,-82,-0.025
-0.35,-83.1,-0.026
-0.34,-84.5,-0.025
-0.35,-86,-0.026
-0.36,-86.9,-0.027
-0.38,-87.7,-0.028
-0.39,-88.5,-0.029
-0.4,-89.5,-0.03
-0.4,-90.8,-0.03
-0.4,-91.8,-0.029
-0.41,-92.7,-0.03
-0.41,-94.1,-0.03
-0.43,-94.7,-0.032
-0.45,-95.7,-0.034
-0.47,-96.5,-0.035
-0.47,-95,-0.035
-0.47,-96.8,-0.035
-0.49,-98.2,-0.036
-0.51,-96.9,-0.037
-0.51,-95.1,-0.038
-0.51,-93.5,-0.038
-0.51,-92,-0.038
-0.51,-93.6,-0.037
-0.5,-95.2,-0.037
-0.5,-96.7,-0.037
-0.52,-97.9,-0.038
-0.51,-96.3,-0.037
-0.51,-94.9,-0.038
-0.52,-93.3,-0.038
-0.51,-91.8,-0.038
-0.5,-90.3,-0.037
-0.5,-91.9,-0.037
-0.5,-90.4,-0.037
-0.5,-88.8,-0.037
-0.48,-87.4,-0.036
-0.47,-86.2,-0.034
-0.45,-84.8,-0.034
-0.46,-83.3,-0.034
-0.45,-81.9,-0.033
-0.44,-80.6,-0.033
-0.43,-79.3,-0.032
-0.43,-77.9,-0.032
-0.42,-76.6,-0.031
-0.41,-75.2,-0.03
-0.4,-73.7,-0.03
-0.38,-73.1,-0.028
-0.38,-71.6,-0.028
-0.39,-70,-0.029
-0.38,-68.5,-0.028
-0.37,-67,-0.027
-0.36,-65.5,-0.027
-0.36,-64.2,-0.026
-0.34,-62.6,-0.025
-0.33,-61,-0.025
-0.33,-59.6,-0.024
-0.32,-58.2,-0.024
-0.31,-56.7,-0.023
-0.3,-55.1,-0.022
-0.28,-54.1,-0.021
-0.27,-52.7,-0.02
-0.28,-51.2,-0.021
-0.27,-49.8,-0.02
-0.26,-48.3,-0.02
-0.25,-46.5,-0.019
-0.25,-44.7,-0.018
-0.24,-43.4,-0.018
-0.23,-42.1,-0.017
-0.22,-40.7,-0.017
-0.21,-39.3,-0.016
-0.2,-37.7,-0.015
-0.2,-36.4,-0.014
-0.19,-34.9,-0.014
-0.18,-33.4,-0.013
-0.17,-31.8,-0.012
-0.15,-30.5,-0.011
-0.14,-29.3,-0.01
-0.13,-27.7,-0.01
-0.13,-26,-0.01
-0.13,-24.4,-0.009
-0.12,-23,-0.009
-0.11,-21.6,-0.008
-0.11,-20.1,-0.008
-0.1,-18.8,-0.007
-0.09,-17.2,-0.007
-0.09,-15.6,-0.006
-0.08,-14.2,-0.006
-0.08,-12.9,-0.006
-0.07,-11.6,-0.005
