Test unit,E6
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,0,0
0,4.8,0
0.01,6,0.001
0.02,7.4,0.001
0.02,8.8,0.002
0.03,10.2,0.002
0.03,11.4,0.003
0.04,12.5,0.003
0.04,13.8,0.004
0.04,14.7,0.004
0.05,15.7,0.005
0.05,16.9,0.005
0.05,17.9,0.004
0.06,18.9,0.005
0.07,19.9,0.006
0.09,21,0.008
0.09,22,0.008
0.1,23,0.009
0.13,23.9,0.011
0.13,24.9,0.012
0.14,25.9,0.012
0.15,27,0.013
0.15,27.9,0.013
0.16,28.9,0.014
0.18,29.8,0.016
0.18,30.8,0.016
0.18,31.9,0.016
0.19,32.8,0.016
0.19,33.8,0.017
0.21,34.7,0.018
0.21,35.7,0.018
0.22,36.6,0.019
0.23,35.6,0.02
0.24,36.6,0.021
0.23,37.6,0.02
0.24,36.6,0.021
0.24,37.6,0.021
0.26,36.3,0.023
0.26,35.2,0.023
0.27,33.9,0.024
0.28,32.6,0.024
0.27,31.5,0.024
0.27,30.5,0.024
0.27,31.7,0.023
0.26,33.1,0.022
0.25,34.4,0.022
0.25,35.5,0.022
0.26,36.5,0.023
0.26,35.3,0.023
0.27,33.9,0.023
0.27,32.8,0.024
0.28,31.6,0.024
0.27,30.4,0.024
0.27,29.2,0.024
0.27,28,0.024
0.27,29.3,0.023
0.26,30.6,0.023
0.25,31.7,0.022
0.24,32.8,0.021
0.25,31.6,0.022
0.26,30.3,0.022
0.27,29.2,0.023
0.29,27.9,0.025
0.29,26.7,0.026
0.28,25.6,0.025
0.27,24.7,0.023
0.26,23.7,0.023
0.26,22.6,0.023
0.25,21.6,0.022
0.25,20.5,0.022
0.24,19.4,0.021
0.24,18.3,0.021
0.23,17.4,0.02
0.22,16.3,0.019
0.21,15.2,0.018
0.2,14.2,0.017
0.19,13.1,0.017
0.18,12.1,0.016
0.18,11,0.015
0.18,10,0.016
0.17,8.9,0.015
0.16,7.9,0.014
0.15,6.9,0.013
0.15,5.7,0.013
0.15,4.6,0.013
0.15,3.6,0.013
0.15,2.6,0.013
0.14,1.6,0.012
0.14,0.6,0.013
0.13,-0.4,0.011
0.12,-1.4,0.01
0.12,-2.5,0.01
0.11,-3.8,0.01
0.11,-4.9,0.009
0.1,-6.1,0.009
0.09,-7.3,0.008
0.08,-8.3,0.007
0.07,-9.5,0.006
0.06,-10.3,0.005
0.06,-11.3,0.006
0.06,-12.2,0.005
0.05,-13,0.004
0.04,-13.9,0.003
0.03,-14.6,0.002
0.01,-15.7,0.001
0.01,-16.6,0.001
0.01,-17.3,0.001
0,-18.2,0
-0.02,-19,-0.001
-0.02,-19.9,-0.002
-0.03,-20.7,-0.003
-0.03,-21.7,-0.003
-0.06,-22.4,-0.005
-0.06,-23.4,-0.005
-0.07,-24.2,-0.006
-0.08,-24.8,-0.007
-0.1,-25.6,-0.009
-0.09,-24.5,-0.008
-0.1,-23.4,-0.009
-0.1,-22.4,-0.009
-0.1,-21.4,-0.009
-0.09,-20.3,-0.008
-0.09,-19.1,-0.008
-0.1,-18,-0.009
-0.1,-17,-0.008
-0.09,-16,-0.008
-0.08,-14.9,-0.007
-0.08,-13.8,-0.007
-0.07,-12.8,-0.006
-0.07,-11.6,-0.006
-0.07,-10.6,-0.006
-0.06,-9.5,-0.005
-0.05,-8.5,-0.005
-0.04,-7.5,-0.004
-0.04,-6.5,-0.003
-0.02,-5.6,-0.001
-0.03,-4.5,-0.002
-0.03,-3.5,-0.002
-0.02,-2.5,-0.002
-0.01,-1.5,-0.001
-0,-0.5,-0
-0,0.6,-0
0.01,1.8,0.001
0.02,3.2,0.001
0.02,4.4,0.002
0.02,5.6,0.002
0.03,6.8,0.002
0.03,8,0.003
0.04,9.3,0.003
0.04,10.4,0.004
0.06,11.4,0.005
0.06,12.5,0.005
0.06,13.5,0.006
0.08,14.4,0.007
0.09,15.4,0.008
0.09,16.5,0.008
0.09,17.7,0.008
0.1,18.7,0.008
0.11,19.7,0.009
0.12,20.8,0.01
0.13,21.9,0.011
0.13,23,0.012
0.16,23.8,0.013
0.16,24.8,0.014
0.15,25.8,0.013
0.16,26.8,0.013
0.16,27.9,0.014
0.17,28.9,0.015
0.18,29.9,0.016
0.19,30.9,0.016
0.2,31.9,0.017
0.22,32.7,0.019
