Test unit,test 8
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,-0,0
0,3.5,0
0.13,4.3,0.008
0.13,9.5,0.008
0.25,10.4,0.017
0.25,13.8,0.017
0.25,0.9,0.017
0.13,-0,0.008
0.13,-7.8,0.008
0,-8.6,0
0,-15.5,0
-0.13,-16.4,-0.008
-0.13,-20.7,-0.008
-0.25,-21.6,-0.017
-0.25,-14.7,-0.017
-0.13,-13.8,-0.008
-0.13,-4.3,-0.008
0,-3.5,0
0,-0,0
NaN,NaN,NaN
0,-0,0
0,3.5,0
0.13,4.3,0.008
0.13,10.4,0.008
0.25,11.2,0.017
0.25,15.5,0.017
0.25,2.6,0.017
0.13,1.7,0.008
0.13,-6,0.008
0,-6.9,0
0,-13.8,0
-0.13,-14.7,-0.008
-0.13,-20.7,-0.008
-0.25,-19.8,-0.017
-0.25,-17.2,-0.017
-0.13,-16.4,-0.008
-0.13,-5.2,-0.008
0,-4.3,0
0,-0,0
NaN,NaN,NaN
0,-0,0
0,3.5,0
0.13,4.3,0.008
0.13,10.4,0.008
0.25,11.2,0.017
0.25,16.4,0.017
0.25,2.6,0.017
0.13,1.7,0.008
0.13,-6,0.008
0,-6.9,0
0,-13.8,0
-0.13,-14.7,-0.008
-0.13,-21.6,-0.008
-0.25,-20.7,-0.017
-0.25,-15.5,-0.017
-0.13,-14.7,-0.008
-0.13,-5.2,-0.008
0,-4.3,0
0,-0,0
NaN,NaN,NaN
0,-0,0
0,3.5,0
0.13,4.3,0.008
0.13,10.4,0.008
0.25,11.2,0.017
0.25,17.2,0.017
0.38,18.1,0.025
0.38,17.2,0.025
0.38,21.6,0.025
0.5,22.4,0.034
0.5,25,0.034
0.5,11.2,0.034
0.38,10.4,0.025
0.38,3.5,0.025
0.25,2.6,0.017
0.25,-3.5,0.017
0.13,-4.3,0.008
0.13,-10.4,0.008
0,-11.2,0
0,-17.2,0
-0.13,-18.1,-0.008
-0.13,-23.3,-0.008
-0.25,-24.1,-0.017
-0.25,-27.6,-0.017
-0.38,-28.5,-0.025
-0.38,-31,-0.025
-0.5,-30.2,-0.034
-0.5,-25,-0.034
-0.38,-24.1,-0.025
-0.38,-14.7,-0.025
-0.25,-13.8,-0.017
-0.25,-6.9,-0.017
-0.13,-6,-0.008
-0.13,-0,-0.008
0,-0,0
NaN,NaN,NaN
0,-0,0
0,6,0
0.13,6.9,0.008
0.13,12.1,0.008
0.25,12.9,0.017
0.25,17.2,0.017
0.38,18.1,0.025
0.38,23.3,0.025
0.5,24.1,0.034
0.5,26.7,0.034
0.5,13.8,0.034
0.38,12.9,0.025
0.38,6,0.025
0.25,5.2,0.017
0.25,-0.9,0.017
0.13,-1.7,0.008
0.13,-7.8,0.008
0,-8.6,0
0,-14.7,0
-0.13,-15.5,-0.008
-0.13,-20.7,-0.008
-0.25,-21.6,-0.017
-0.25,-25.9,-0.017
-0.38,-26.7,-0.025
-0.38,-31,-0.025
-0.5,-30.2,-0.034
-0.5,-26.7,-0.034
-0.38,-25,-0.025
-0.38,-15.5,-0.025
-0.25,-14.7,-0.017
-0.25,-7.8,-0.017
-0.13,-6.9,-0.008
-0.13,-0.9,-0.008
0,-0,0
NaN,NaN,NaN
0,-0,0
0,6,0
0.13,6.9,0.008
0.13,12.1,0.008
0.25,12.9,0.017
0.25,18.1,0.017
0.38,19,0.025
0.38,23.3,0.025
0.5,24.1,0.034
0.5,26.7,0.034
0.5,14.7,0.034
0.38,13.8,0.025
0.38,6.9,0.025
0.25,6,0.017
0.25,-0,0.017
0.13,-0.9,0.008
0.13,-6.9,0.008
0,-7.8,0
0,-13.8,0
-0.13,-14.7,-0.008
-0.13,-19.8,-0.008
-0.25,-20.7,-0.017
-0.25,-25.9,-0.017
-0.38,-26.7,-0.025
-0.38,-31,-0.025
-0.5,-31.9,-0.034
-0.5,-27.6,-0.034
-0.38,-25.9,-0.025
-0.38,-15.5,-0.025
-0.25,-14.7,-0.017
-0.25,-7.8,-0.017
-0.13,-6.9,-0.008
-0.13,-0.9,-0.008
0,-0,0
NaN,NaN,NaN
0,-0,0
0,6,0
0.13,6.9,0.008
0.13,12.1,0.008
0.25,12.9,0.017
0.25,18.1,0.017
0.38,19,0.025
0.38,22.4,0.025
0.5,23.3,0.034
0.5,27.6,0.034
