Test unit,T1-1
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.01,-0.3,-0.001
-0.06,-7.8,-0.005
-0.1,-11.3,-0.008
-0.1,-11.3,-0.008
-0.11,-11.6,-0.009
-0.15,-15.7,-0.012
-0.31,-19.7,-0.025
-0.35,-25.7,-0.028
-0.39,-28.5,-0.031
-0.43,-30.4,-0.034
-0.45,-31.9,-0.036
-0.48,-31.9,-0.039
-0.5,-34.4,-0.04
-0.52,-35.1,-0.042
-0.54,-35.7,-0.043
-0.55,-36.3,-0.044
-0.56,-36.3,-0.045
-0.55,-36,-0.044
-0.56,-34.7,-0.045
-0.54,-31.9,-0.043
-0.52,-30.7,-0.042
-0.51,-29.4,-0.041
-0.49,-27.5,-0.039
-0.46,-25.7,-0.037
-0.44,-23.5,-0.035
-0.41,-21,-0.033
-0.37,-18.2,-0.03
-0.33,-15,-0.027
-0.29,-12.2,-0.023
-0.29,-11.9,-0.023
-0.28,-11.6,-0.022
-0.28,-11.6,-0.022
-0.04,7.8,-0.003
-0.04,7.2,-0.003
0,11.6,0
0.05,15.3,0.004
0.11,18.8,0.009
0.15,21.9,0.012
0.2,24.7,0.016
0.25,27.5,0.02
0.3,30.1,0.024
0.34,31.9,0.027
0.37,33.5,0.03
0.41,34.7,0.033
0.44,36.6,0.035
0.46,37.6,0.037
0.49,38.2,0.039
0.5,38.8,0.04
0.52,39.1,0.042
0.54,39.1,0.043
0.55,39.4,0.044
0.55,37.6,0.044
0.52,33.8,0.042
0.51,33.2,0.041
0.5,31.6,0.04
0.47,29.7,0.038
0.45,27.5,0.036
0.42,25.7,0.033
0.39,23.2,0.031
0.35,20.3,0.028
0.31,17.2,0.025
0.27,14.7,0.021
0.22,11,0.018
0.17,7.5,0.014
0.14,4.4,0.011
0.07,0.6,0.006
0.03,-2.8,0.003
-0.01,-5.9,-0.001
0,-3.1,0
0,-2.8,0
0,-3.8,0
-0.01,-4.4,-0.001
0,-3.1,0
-0.02,-5.9,-0.002
-0.07,-10,-0.006
-0.1,-11.3,-0.008
-0.1,-11.3,-0.008
-0.11,-11.6,-0.009
-0.35,-25.4,-0.028
-0.32,-22.5,-0.026
-0.35,-26,-0.028
-0.4,-28.5,-0.032
-0.42,-30.4,-0.033
-0.45,-31.6,-0.036
-0.48,-33.2,-0.039
-0.5,-34.4,-0.04
-0.52,-35.4,-0.042
-0.54,-36,-0.043
-0.55,-36.3,-0.044
-0.55,-34.4,-0.044
-0.54,-32.9,-0.043
-0.52,-31.6,-0.042
-0.5,-30.1,-0.04
-0.48,-28.2,-0.039
-0.45,-26.6,-0.036
-0.43,-24.4,-0.034
-0.39,-21.6,-0.031
-0.35,-19.1,-0.028
-0.32,-16.3,-0.026
-0.28,-13.5,-0.022
-0.25,-11.9,-0.02
-0.24,-11.6,-0.019
-0.24,-11.6,-0.019
-0.22,-9.7,-0.018
-0.02,1.9,-0.002
0.02,7.2,0.002
0.07,10.6,0.006
0.12,13.8,0.009
0.17,17.2,0.014
0.21,20.3,0.017
0.27,23.5,0.021
0.3,26,0.024
0.34,28.8,0.027
0.39,30.4,0.031
0.42,32.2,0.033
0.45,34.1,0.036
0.47,35.7,0.038
0.49,36.6,0.039
0.51,37.6,0.041
0.52,37.9,0.042
0.55,38.8,0.044
0.55,36.3,0.044
0.52,33.2,0.042
0.51,32.2,0.041
0.49,31,0.039
0.47,29.1,0.038
0.45,26.9,0.036
0.42,24.7,0.033
0.39,21.9,0.031
0.34,19.4,0.027
0.3,16.3,0.024
0.26,13.1,0.021
0.21,10,0.017
0.16,6.9,0.013
0.12,3.1,0.009
0.06,0,0.005
0.02,-3.8,0.002
-0.01,-5,-0.001
0,-2.2,0
0,-4.4,0
-0.01,-4.1,-0.001
-0.04,-7.8,-0.003
-0.09,-10.6,-0.007
-0.1,-11.3,-0.008
-0.11,-11.6,-0.009
-0.11,-11.9,-0.009
-0.34,-22.9,-0.027
-0.33,-24.1,-0.027
-0.37,-26.6,-0.03
-0.41,-28.8,-0.033
-0.44,-31,-0.035
-0.47,-32.2,-0.038
-0.49,-33.8,-0.039
-0.51,-34.7,-0.041
-0.52,-35.7,-0.042
-0.55,-36.3,-0.044
-0.55,-36.6,-0.044
-0.56,-36,-0.045
-0.55,-33.5,-0.044
