Test unit,WS1.250
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-1.44,-28.5,-0.109
-1.44,-26.6,-0.109
-1.28,-22.8,-0.096
-1.11,-19.1,-0.084
-0.95,-15.2,-0.072
-0.7,-11.7,-0.053
-0.62,-8.8,-0.047
-0.45,-5.4,-0.034
-0.29,-0.2,-0.022
-0.12,1.3,-0.009
-0.12,1.9,-0.009
0.04,3.9,0.003
0.12,6,0.009
0.29,8.3,0.022
0.37,11.1,0.028
0.54,13.3,0.04
0.7,16.1,0.053
0.78,18.4,0.059
0.95,20.2,0.072
1.11,22.8,0.084
1.28,25.2,0.096
1.44,27.5,0.109
1.61,30.1,0.121
1.69,30.7,0.128
1.77,31.7,0.134
1.77,31.4,0.134
1.61,28.1,0.121
1.36,23.1,0.103
1.2,19,0.09
1.03,15.6,0.078
0.95,12.7,0.072
0.7,8.6,0.053
0.62,6,0.047
0.54,3.7,0.04
0.37,2.2,0.028
0.29,1.6,0.022
0.29,-0.2,0.022
0.21,-2.5,0.016
0.04,-4.7,0.003
-0.12,-7.2,-0.009
-0.21,-9.2,-0.016
-0.29,-12.3,-0.022
-0.45,-14.7,-0.034
-0.62,-17.3,-0.047
-0.78,-19.3,-0.059
-0.95,-22,-0.072
-1.03,-24.6,-0.078
-1.61,-16.4,-0.121
NaN,NaN,NaN
-3.18,-53.6,-0.24
-3.18,-52.1,-0.24
-3.01,-49.2,-0.227
-2.76,-45.8,-0.209
-2.6,-42.3,-0.196
-2.35,-39.1,-0.177
-2.19,-36.2,-0.165
-2.1,-33.2,-0.159
-1.94,-30.3,-0.146
-1.77,-27.8,-0.134
-1.69,-24.9,-0.128
-1.44,-22,-0.109
-1.36,-19.3,-0.103
-1.2,-16.7,-0.09
-1.11,-14,-0.084
-0.95,-11.4,-0.072
-0.78,-9.2,-0.059
-0.62,-6.9,-0.047
-0.54,-4.7,-0.04
-0.37,-2.2,-0.028
-0.29,-0.2,-0.022
-0.21,0.7,-0.016
-0.21,1.3,-0.016
-0.12,2.5,-0.009
0.12,6.6,0.009
0.29,9.2,0.022
0.37,11.7,0.028
0.54,14,0.04
0.7,16.4,0.053
0.78,18.7,0.059
0.95,20.8,0.072
1.03,23.4,0.078
1.2,25.7,0.09
1.44,28.5,0.109
1.61,30,0.121
1.61,31.2,0.121
1.94,35.2,0.146
2.1,37.3,0.159
2.27,39.3,0.171
2.43,41.4,0.184
2.68,43.7,0.202
2.76,45.5,0.209
2.93,47.5,0.221
3.18,49.4,0.24
3.34,51.5,0.252
3.51,53,0.265
3.75,54.4,0.283
3.92,56.1,0.296
3.92,55.9,0.296
3.75,53.5,0.283
3.67,51.8,0.277
3.51,49.4,0.265
3.34,47.1,0.252
3.26,44.6,0.246
3.01,42.3,0.227
2.93,39.9,0.221
2.76,37.9,0.209
2.68,36.1,0.202
2.6,34.6,0.196
2.35,31.4,0.177
2.19,27.5,0.165
1.94,24.6,0.146
1.77,21.1,0.134
1.61,18.1,0.121
1.44,15.2,0.109
1.2,12.6,0.09
1.11,9.5,0.084
0.95,7.1,0.072
0.78,4.8,0.059
0.7,2.7,0.053
0.62,1.3,0.047
0.54,1.3,0.04
0.54,0.4,0.04
0.37,-2.2,0.028
0.21,-4.3,0.016
0.12,-6.6,0.009
0.04,-9.2,0.003
-0.12,-11.1,-0.009
-0.29,-13.5,-0.022
-0.37,-16.4,-0.028
-0.54,-18.7,-0.04
-0.62,-20.8,-0.047
-0.78,-23.6,-0.059
-0.95,-26.2,-0.072
-1.03,-27.7,-0.078
-1.2,-30,-0.09
-1.36,-32.6,-0.103
-1.53,-34.7,-0.115
-1.69,-37.3,-0.128
-1.86,-39.1,-0.14
-2.02,-41.1,-0.152
-2.1,-43.2,-0.159
-2.27,-45.5,-0.171
-2.52,-47.4,-0.19
-2.68,-49.2,-0.202
-2.76,-50.9,-0.209
-2.93,-52.9,-0.221
-3.09,-54.7,-0.233
-3.09,-54.1,-0.233
NaN,NaN,NaN
-5.15,-72.1,-0.389
-5.15,-71.3,-0.389
-5.07,-70.3,-0.383
-4.91,-67.7,-0.37
-4.66,-64.8,-0.352
-4.49,-62.5,-0.339
-4.33,-59.7,-0.327
-4.16,-56.8,-0.314
-4,-54.1,-0.302
-3.84,-51.8,-0.289
