Test unit,test 14
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0,-0.1,-0
-0,8.3,-0
0.19,9.6,0.01
0.19,13.5,0.01
0.19,-3.1,0.01
-0,-4.4,-0
-0,-14.4,-0
-0.2,-15.7,-0.01
-0.2,-22.3,-0.01
-0.2,-1.3,-0.01
-0.08,1.2,-0.004
-0,9.2,-0
0.19,10.5,0.01
0.19,15.3,0.01
0.19,-1.3,0.01
-0,-2.4,-0
-0,-13.5,-0
-0.2,-14.9,-0.01
-0.2,-22.3,-0.01
-0.2,-2.2,-0.01
-0.06,-0.6,-0.003
-0,9.2,-0
0.19,10.5,0.01
0.19,16.1,0.01
0.19,-0.4,0.01
-0,-1.8,-0
-0,-12.7,-0
-0.2,-14,-0.01
-0.2,-22.3,-0.01
-0.19,-2.3,-0.01
-0.11,-0.6,-0.006
NaN,NaN,NaN
-0,0.4,-0
-0,10,-0
0.19,10.9,0.01
0.19,19.7,0.01
0.39,20.5,0.02
0.39,24,0.02
0.39,4.8,0.02
0.19,3.9,0.01
0.19,-6.6,0.01
-0,-7.4,-0
-0,-17,-0
-0.2,-17.9,-0.01
-0.2,-24.9,-0.01
-0.39,-25.8,-0.021
-0.39,-30.1,-0.021
-0.59,-31,-0.031
-0.59,-23.2,-0.031
-0.39,-22.3,-0.021
-0.39,-9.2,-0.021
-0.2,-8.3,-0.01
-0.2,-0.4,-0.01
-0.2,1.3,-0.01
-0,2.2,-0
-0,10.9,-0
0.19,11.8,0.01
0.19,19.7,0.01
0.39,20.5,0.02
0.39,26.6,0.02
0.39,7.4,0.02
0.19,6.5,0.01
0.19,-3.1,0.01
-0,-3.9,-0
-0,-13.5,-0
-0.2,-14.4,-0.01
-0.2,-23.2,-0.01
-0.39,-24,-0.021
-0.39,-30.1,-0.021
-0.59,-31,-0.031
-0.59,-31.9,-0.031
-0.59,-23.2,-0.031
-0.39,-22.3,-0.021
-0.39,-9.2,-0.021
-0.2,-8.3,-0.01
-0.23,-0.4,-0.012
-0.2,1.3,-0.01
-0,2.2,-0
-0,10.9,-0
0.19,11.8,0.01
0.19,19.7,0.01
0.39,20.5,0.02
0.39,26.6,0.02
0.39,8.3,0.02
0.19,7.4,0.01
0.19,-2.2,0.01
-0,-3.1,-0
-0,-12.7,-0
-0.2,-13.5,-0.01
-0.2,-22.3,-0.01
-0.39,-23.2,-0.021
-0.39,-22.3,-0.021
-0.39,-30.1,-0.021
-0.59,-31,-0.031
-0.59,-31.9,-0.031
-0.59,-24,-0.031
-0.39,-23.2,-0.021
-0.39,-10,-0.021
-0.2,-9.2,-0.01
-0.26,-0.6,-0.013
NaN,NaN,NaN
-0.2,-0.4,-0.01
-0.2,1.3,-0.01
-0,2.2,-0
-0,10.9,-0
0.19,11.8,0.01
0.19,20.5,0.01
0.39,21.4,0.02
0.39,28.4,0.02
0.58,29.3,0.031
0.58,32.7,0.031
0.78,33.6,0.041
0.78,23.1,0.041
0.58,22.3,0.031
0.58,11.8,0.031
0.39,10.9,0.02
0.39,2.2,0.02
0.19,1.3,0.01
0.19,-6.6,0.01
-0,-7.4,-0
-0,-16.2,-0
-0.2,-17,-0.01
-0.2,-24.9,-0.01
-0.39,-25.8,-0.021
-0.39,-32.8,-0.021
-0.59,-33.6,-0.031
-0.59,-37.1,-0.031
-0.78,-38,-0.041
-0.78,-38.9,-0.041
-0.78,-26.6,-0.041
-0.59,-25.8,-0.031
-0.59,-14.4,-0.031
-0.39,-13.5,-0.021
-0.39,-4.8,-0.021
-0.2,-3.9,-0.01
-0.2,-0.4,-0.01
-0.2,3.9,-0.01
-0,4.8,-0
-0,11.8,-0
0.19,12.7,0.01
0.19,20.5,0.01
0.39,21.4,0.02
0.39,27.5,0.02
0.58,28.4,0.031
0.58,34.5,0.031
0.78,35.4,0.041
0.78,25.8,0.041
0.58,24.9,0.031
0.58,13.5,0.031
0.39,12.7,0.02
0.39,3.9,0.02
0.19,3.1,0.01
0.19,-4.8,0.01
-0,-5.7,-0
-0,-13.5,-0
-0.2,-14.4,-0.01
-0.2,-21.4,-0.01
-0.39,-20.5,-0.021
-0.39,-29.3,-0.021
-0.59,-30.1,-0.031
-0.59,-37.1,-0.031
-0.78,-38,-0.041
-0.78,-39.8,-0.041
-0.78,-26.6,-0.041
