Test unit,WS2.100
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-1.69,-12.4,-0.128
-1.61,-12.3,-0.121
-1.53,-11.1,-0.115
-1.44,-8.3,-0.109
-1.2,-5.9,-0.09
-1.03,-4.2,-0.078
-0.87,-2.7,-0.065
-0.54,-1.1,-0.04
-0.54,-0.2,-0.04
-0.45,-0.2,-0.034
-0.29,0.5,-0.022
-0.21,1.8,-0.016
0.45,5.4,0.034
0.54,6.6,0.04
0.78,7.1,0.059
0.95,8.3,0.072
1.03,9.2,0.078
1.2,10.1,0.09
1.61,13.2,0.121
1.86,14.7,0.14
2.02,15.5,0.152
2.19,16.4,0.165
2.27,16.7,0.171
2.19,14.7,0.165
2.02,12.6,0.152
1.69,10.5,0.128
1.61,8.9,0.121
1.36,7.4,0.103
1.11,6.6,0.084
0.95,5.4,0.072
0.78,3.9,0.059
0.62,3.3,0.047
0.37,1.8,0.028
0.29,1,0.022
0.12,0.1,0.009
-0.04,-0.5,-0.003
-0.12,-1.4,-0.009
-0.37,-3,-0.028
-0.45,-3.9,-0.034
-0.78,-6.3,-0.059
-0.95,-7.7,-0.072
-1.28,-10.1,-0.096
-1.61,-16.4,-0.121
NaN,NaN,NaN
-3.67,-24.2,-0.277
-3.67,-23.9,-0.277
-3.59,-23.3,-0.271
-3.34,-20.5,-0.252
-3.26,-18.5,-0.246
-3.01,-17,-0.227
-2.76,-15.2,-0.209
-2.68,-13.5,-0.202
-2.43,-11.7,-0.184
-2.1,-8.6,-0.159
-1.86,-7.7,-0.14
-1.77,-6.6,-0.134
-1.44,-4.2,-0.109
-1.11,-2.4,-0.084
-0.87,-0.5,-0.065
-0.7,0.1,-0.053
-0.45,1.4,-0.034
-0.12,3.9,-0.009
0.04,4.8,0.003
0.12,5.4,0.009
0.21,5.9,0.016
0.37,6.9,0.028
0.54,8.2,0.04
0.87,9.5,0.065
0.95,11.1,0.072
1.11,12,0.084
1.36,13.2,0.103
1.44,14,0.109
2.02,18.2,0.152
2.27,19.5,0.171
2.35,20.1,0.177
2.52,21.1,0.19
2.85,22.7,0.215
3.01,23.6,0.227
3.34,24.8,0.252
3.42,25.7,0.258
3.75,26.5,0.283
3.84,26.9,0.289
4,27.5,0.302
4.08,27.7,0.308
4.16,28.8,0.314
4,29.2,0.302
4.66,29.5,0.352
4.49,29.2,0.339
4.41,26.9,0.333
4.08,24.8,0.308
3.84,23.3,0.289
3.67,21.9,0.277
3.42,20.4,0.258
3.26,18.2,0.246
3.09,17.3,0.233
2.85,16.1,0.215
2.68,15,0.202
2.52,13.2,0.19
2.35,12.6,0.177
2.1,11.1,0.159
2.02,9.8,0.152
1.77,8.6,0.134
1.61,7.4,0.121
1.44,6.6,0.109
1.2,5.4,0.09
1.11,4.2,0.084
0.78,2.4,0.059
0.7,1.4,0.053
0.45,0.2,0.034
0.37,-0.2,0.028
0.29,-0.5,0.022
0.21,-1.1,0.016
0.12,-1.1,0.009
-0.04,-2.7,-0.003
-0.29,-3.9,-0.022
-0.37,-4.8,-0.028
-0.62,-6.3,-0.047
-0.78,-7.1,-0.059
-1.03,-8.9,-0.078
-1.2,-10.8,-0.09
-1.44,-11.7,-0.109
-1.61,-12.4,-0.121
-1.69,-14,-0.128
-1.94,-14.7,-0.146
-2.1,-15.8,-0.159
-2.27,-17,-0.171
-2.43,-17.9,-0.184
-2.52,-18.8,-0.19
-2.76,-20.4,-0.209
-2.85,-20.8,-0.215
-3.01,-22,-0.227
-3.26,-23,-0.246
-3.34,-24.5,-0.252
-3.59,-25.4,-0.271
-3.59,-24.9,-0.271
NaN,NaN,NaN
-5.9,-32.6,-0.445
-5.58,-29.7,-0.421
-4.84,-24.3,-0.365
-4.25,-22.1,-0.321
-3.66,-19.1,-0.276
-3.13,-15.6,-0.237
-2.74,-12.6,-0.207
-1.97,-7.3,-0.149
-1.53,-4.7,-0.116
-0.95,-1.1,-0.072
-0.7,1.3,-0.053
0.08,6.2,0.006
0.86,11.7,0.065
1.52,16.1,0.115
1.94,18.5,0.146
2.52,23.6,0.19
3.27,27.5,0.247
3.59,29.5,0.271
3.95,30.9,0.298
4.73,33,0.357
5.63,34.8,0.425
6.61,35,0.499
6.98,34.7,0.527
6.23,32.9,0.47
5.04,31.5,0.38
