ID;Reference;Test unit name;Cyclic / Monotonic;Lab / In-situ;Stone masonry typology;Joints;Stone;H [mm];L [mm];t [mm];H0/H;?0,tot /fc
1;Vasconcelos and Lourenço (2009);WS1.100;Cyclic;Laboratory;E1;Stone;Granite;1200;1000;200;1.104166667;0.007178082
2;Vasconcelos and Lourenço (2009);WS2.100;Cyclic;Laboratory;E1;Dry;Granite;1200;1000;200;1.104166667;0.007178082
3;Vasconcelos and Lourenço (2009);WS3.100;Cyclic;Laboratory;E1;Dry;Granite;1200;1000;200;1.104166667;0.007178082
4;Vasconcelos and Lourenço (2009);WS4.100;Cyclic;Laboratory;E1;Dry;Granite;1200;1000;200;1.104166667;0.007178082
5;Vasconcelos and Lourenço (2009);WS1.175;Cyclic;Laboratory;E1;Dry;Granite;1200;1000;200;1.104166667;0.012315068
6;Vasconcelos and Lourenço (2009);WS2.175;Cyclic;Laboratory;E1;Dry;Granite;1200;1000;200;1.104166667;0.012315068
7;Vasconcelos and Lourenço (2009);WS3.175;Cyclic;Laboratory;E1;Dry;Granite;1200;1000;200;1.104166667;0.012315068
8;Vasconcelos and Lourenço (2009);WS1.250;Cyclic;Laboratory;E1;Dry;Granite;1200;1000;200;1.104166667;0.017452055
9;Vasconcelos and Lourenço (2009);WS2.250;Cyclic;Laboratory;E1;Dry;Granite;1200;1000;200;1.104166667;0.017452055
10;Vasconcelos and Lourenço (2009);WS3.250;Cyclic;Laboratory;E1;Dry;Granite;1200;1000;200;1.104166667;0.017452055
11;Vasconcelos and Lourenço (2009);WI1.100;Cyclic;Laboratory;E;Hydraulic lime mortar;Granite;1200;1000;200;1.104166667;0.028478261
12;Vasconcelos and Lourenço (2009);WI2.100;Cyclic;Laboratory;E;Hydraulic lime mortar;Granite;1200;1000;200;1.104166667;0.028478261
13;Vasconcelos and Lourenço (2009);WI1.175;Cyclic;Laboratory;E;Hydraulic lime mortar;Granite;1200;1000;200;1.104166667;0.048858696
14;Vasconcelos and Lourenço (2009);WI2.175;Cyclic;Laboratory;E;Hydraulic lime mortar;Granite;1200;1000;200;1.104166667;0.048858696
15;Vasconcelos and Lourenço (2009);WI3.175;Cyclic;Laboratory;E;Hydraulic lime mortar;Granite;1200;1000;200;1.104166667;0.048858696
16;Vasconcelos and Lourenço (2009);WI1.250;Cyclic;Laboratory;E;Hydraulic lime mortar;Granite;1200;1000;200;1.104166667;0.06923913
17;Vasconcelos and Lourenço (2009);WI2.250;Cyclic;Laboratory;E;Hydraulic lime mortar;Granite;1200;1000;200;1.104166667;0.06923913
18;Vasconcelos and Lourenço (2009);WR1.100;Cyclic;Laboratory;C;Hydraulic lime mortar;Granite;1200;1000;200;1.104166667;0.1048
19;Vasconcelos and Lourenço (2009);WR2.100;Cyclic;Laboratory;C;Hydraulic lime mortar;Granite;1200;1000;200;1.104166667;0.1048
20;Vasconcelos and Lourenço (2009);WR1.175;Cyclic;Laboratory;C;Hydraulic lime mortar;Granite;1200;1000;200;1.104166667;0.1798
21;Vasconcelos and Lourenço (2009);WR2.175;Cyclic;Laboratory;C;Hydraulic lime mortar;Granite;1200;1000;200;1.104166667;0.1798
22;Vasconcelos and Lourenço (2009);WR1.250;Cyclic;Laboratory;C;Hydraulic lime mortar;Granite;1200;1000;200;1.104166667;0.2548
23;Vasconcelos and Lourenço (2009);WR2.250;Cyclic;Laboratory;C;Hydraulic lime mortar;Granite;1200;1000;200;1.104166667;0.2548
24;Vasconcelos and Lourenço (2009);WR3.250;Cyclic;Laboratory;C;Hydraulic lime mortar;Granite;1200;1000;200;1.104166667;0.2548
25;Silva et al. (2014);C1;Cyclic;Laboratory;B;Hydraulic lime mortar;Limestone;1200;1000;500;1.125;0.41124498
26;Silva et al. (2014);C2;Cyclic;Laboratory;B;Hydraulic lime mortar;Limestone;1200;1000;500;1.125;0.511646586
27;Silva et al. (2014);C3;Cyclic;Laboratory;B;Hydraulic lime mortar;Limestone;1200;1000;500;1.125;0.310843373
28;Silva et al. (2014);C4;Cyclic;Laboratory;B;Hydraulic lime mortar;Limestone;1200;1000;500;1.125;0.210441767
29;Silva et al. (2014);C5;Cyclic;Laboratory;B;Hydraulic lime mortar;Limestone;1200;1000;500;1.125;0.239252336
30;Silva et al. (2014);C6;Cyclic;Laboratory;B;Hydraulic lime mortar;Limestone;1200;1000;500;1.125;0.356074766
31;Silva et al. (2014);C7;Cyclic;Laboratory;B;Hydraulic lime mortar;Limestone;1200;1000;500;1.125;0.297663551
32;Silva et al. (2014);C8;Cyclic;Laboratory;B;Hydraulic lime mortar;Limestone;1200;1000;500;1.125;0.472897196
33;Silva et al. (2014);E1;Cyclic;Laboratory;B;Hydraulic lime mortar;Limestone;1000;800;330;1.15;0.215767635
34;Silva et al. (2014);E2;Cyclic;Laboratory;B;Hydraulic lime mortar;Limestone;1000;800;330;1.15;0.423236515
35;Silva et al. (2014);E3;Cyclic;Laboratory;B;Hydraulic lime mortar;Limestone;1000;800;330;1.15;0.319502075
36;Silva et al. (2014);E4;Cyclic;Laboratory;B;Hydraulic lime mortar;Limestone;1000;800;330;1.15;0.526970954
37;Silva et al. (2014);E5;Cyclic;Laboratory;B;Hydraulic lime mortar;Limestone;1000;800;330;1.15;0.260780287
